Row Labels,Average of Price,Count of Vin
Acura,22135,10399
Alfa,46826,12
AM,51684,10
Aston,48990,48
Audi,26679,11794
Bentley,49202,111
BMW,25639,30061
Buick,18579,11843
Cadillac,25389,13785
Chevrolet,21548,98679
Chrysler,15627,15592
Dodge,17798,33380
FIAT,11318,1582
Fisker,46246,17
Ford,20968,107388
Freightliner,26307,9
Genesis,39997,45
Geo,5497,2
GMC,27768,27935
Honda,16488,48503
HUMMER,18569,937
Hyundai,14206,34903
INFINITI,24872,11832
Isuzu,4460,58
Jaguar,29787,1838
Jeep,22259,38886
Kia,15364,27651
Land,30655,3139
Lexus,25805,20202
Lincoln,22526,6922
Lotus,43752,28
Maserati,42853,800
Mazda,15383,12575
Mercedes-Benz,27284,23318
Mercury,6885,1063
MINI,16031,4173
Mitsubishi,12901,3851
Nissan,16305,62017
Oldsmobile,3535,113
Plymouth,20502,42
Pontiac,7475,1768
Porsche,38405,2629
Ram,30641,18754
Saab,6491,249
Saturn,6250,938
Scion,12257,3007
smart,7760,605
Subaru,19167,15470
Suzuki,6904,319
Tesla,49543,134
Toyota,19260,75604
Volkswagen,14768,22570
Volvo,22953,4786
(blank),0,